City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
182,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
183,Arawa,PG,76.08,broken clouds,-6.2132,155.5367,Coastline Guest House
184,Trincomalee,LK,82.83,scattered clouds,8.5711,81.2335,Welcombe Hotel
187,Kloulklubed,PW,83.79,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
189,Santa Marta,CO,83.62,broken clouds,11.2408,-74.199,Casa de Isabella
203,Komsomolskiy,UZ,84.92,scattered clouds,40.4272,71.7189,Ikathouse
204,Gwadar,PK,85.33,clear sky,25.1216,62.3254,Sadaf Resort
205,Namatanai,PG,78.78,light rain,-3.6667,152.4333,Namatanai Hotel
209,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
214,Tavricheskoye,RU,76.91,broken clouds,54.5851,73.6395,Prodayotsya Kotedzh
218,West Bay,KY,86.07,scattered clouds,19.3667,-81.4167,Calypso Cove
221,Maragogi,BR,80.17,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
228,Belmonte,BR,82.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
232,Bengkulu,ID,76.8,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
236,Sakhon Nakhon,TH,82.47,few clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
239,Maracas,BR,81.37,few clouds,-13.4411,-40.4308,Pousada Vale Aprazível
240,Kroya,ID,78.19,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
241,Takoradi,GH,83.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
246,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
247,Kavaratti,IN,83.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
251,San Ignacio,BZ,87.94,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
262,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
263,Hami,CN,76.68,clear sky,42.8,93.45,Laoyutang Resort
267,Kirakira,SB,77.31,overcast clouds,-10.4544,161.9205,SanBiz Lodge
269,Kudahuvadhoo,MV,83.7,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
280,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
284,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
289,Bondoukou,CI,87.35,broken clouds,8.0333,-2.8,Prestige Hotel
290,Cintalapa,MX,87.31,scattered clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
293,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
297,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
300,Hirara,JP,79.3,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
301,Bahia Honda,CU,85.87,heavy intensity rain,22.9036,-83.1592,Casa Gualberto - Deysi
302,Pitogo,PH,81.19,overcast clouds,13.7847,122.0881,Ricronald
303,Bac Lieu,VN,83.41,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
316,Jeremie,HT,83.1,clear sky,18.65,-74.1167,Auberge’Inn
327,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
