City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Koygorodok,RU,2021-05-30 16:50:49,60.445,50.9968,43.18,51,48,10.04,scattered clouds
110,Chuy,UY,2021-05-30 16:50:50,-33.6971,-53.4616,55.63,45,4,12.57,clear sky
111,Guerrero Negro,MX,2021-05-30 16:50:50,27.9769,-114.0611,64.92,63,26,15.75,scattered clouds
112,Hay River,CA,2021-05-30 16:50:50,60.8156,-115.7999,44.58,70,75,8.05,broken clouds
113,Villa Carlos Paz,AR,2021-05-30 16:47:05,-31.4241,-64.4978,69.06,35,50,21.0,scattered clouds
114,Nanortalik,GL,2021-05-30 16:50:51,60.1432,-45.2371,37.18,88,87,16.62,overcast clouds
115,Kodiak,US,2021-05-30 16:50:52,57.79,-152.4072,45.91,87,90,6.91,overcast clouds
116,Oriximina,BR,2021-05-30 16:50:52,-1.7656,-55.8661,89.92,49,24,7.11,few clouds
117,Berezniki,RU,2021-05-30 16:50:52,59.4152,56.8124,46.83,82,96,9.31,overcast clouds
118,Albany,US,2021-05-30 16:50:53,42.6001,-73.9662,49.86,90,100,5.44,moderate rain
119,Soe,ID,2021-05-30 16:50:53,-9.8607,124.284,65.17,95,100,3.53,overcast clouds
120,Porbandar,IN,2021-05-30 16:50:53,21.6422,69.6093,83.55,79,100,14.09,overcast clouds
121,Baykit,RU,2021-05-30 16:50:54,61.67,96.37,37.92,89,96,1.5,overcast clouds
122,Kaihua,CN,2021-05-30 16:50:54,23.3687,104.28,67.69,94,77,2.89,broken clouds
123,Rocha,UY,2021-05-30 16:50:55,-34.4833,-54.3333,54.34,49,6,14.74,clear sky
124,Vaini,TO,2021-05-30 16:50:55,-21.2,-175.2,75.36,100,90,5.75,moderate rain
125,Pangody,RU,2021-05-30 16:50:56,65.85,74.4859,41.72,82,100,8.99,overcast clouds
126,Vanimo,PG,2021-05-30 16:50:56,-2.6741,141.3028,78.46,89,100,6.26,light rain
127,Labuhan,ID,2021-05-30 16:50:56,-6.8844,112.2051,78.6,85,100,4.76,overcast clouds
128,Bubaque,GW,2021-05-30 16:50:57,11.2833,-15.8333,77.99,73,67,13.31,broken clouds
129,Maridi,SS,2021-05-30 16:50:57,4.9158,29.4742,68.29,93,46,1.66,light rain
130,Palu,ID,2021-05-30 16:50:58,-0.8917,119.8707,76.08,95,66,2.93,broken clouds
131,Ancud,CL,2021-05-30 16:50:58,-41.8697,-73.8203,55.22,95,100,15.05,moderate rain
132,Bantry,IE,2021-05-30 16:50:59,51.6833,-9.45,65.68,70,3,7.76,clear sky
133,Pisco,PE,2021-05-30 16:50:59,-13.7,-76.2167,65.01,94,90,6.91,overcast clouds
134,Puri,IN,2021-05-30 16:50:59,19.8,85.85,89.38,83,42,15.9,scattered clouds
135,Port Lincoln,AU,2021-05-30 16:51:00,-34.7333,135.8667,55.24,45,83,11.48,broken clouds
136,Kaeo,NZ,2021-05-30 16:51:00,-35.1,173.7833,52.32,97,86,14.09,moderate rain
137,Malmyzh,RU,2021-05-30 16:51:01,56.5205,50.6818,44.94,74,100,15.3,overcast clouds
138,Mar Del Plata,AR,2021-05-30 16:51:01,-38.0023,-57.5575,56.08,43,0,1.01,clear sky
139,Teknaf,BD,2021-05-30 16:51:01,20.8624,92.3058,82.6,82,84,2.51,broken clouds
140,Istok,XK,2021-05-30 16:51:02,42.7808,20.4875,51.15,86,100,1.68,overcast clouds
141,Shevchenkove,UA,2021-05-30 16:51:02,49.6959,37.1735,62.38,91,86,8.61,overcast clouds
142,Masuguru,TZ,2021-05-30 16:51:02,-11.3667,38.4167,78.12,52,33,3.62,scattered clouds
143,Sydney,AU,2021-05-30 16:46:21,-33.8679,151.2073,54.72,75,75,1.01,broken clouds
144,Vila Velha,BR,2021-05-30 16:49:13,-20.3297,-40.2925,87.75,59,0,5.01,clear sky
145,Itarema,BR,2021-05-30 16:51:03,-2.9248,-39.9167,85.68,58,6,14.72,clear sky
146,Mollendo,PE,2021-05-30 16:51:03,-17.0231,-72.0147,69.66,73,100,10.09,overcast clouds
147,Springbok,ZA,2021-05-30 16:51:04,-29.6643,17.8865,56.35,40,0,0.85,clear sky
148,Riyadh,SA,2021-05-30 16:51:04,24.6877,46.7219,104.14,9,0,6.91,clear sky
149,Saldanha,ZA,2021-05-30 16:51:04,-33.0117,17.9442,60.85,83,7,7.67,clear sky
150,Tombouctou,ML,2021-05-30 16:51:05,20.0,-3.0,109.58,4,63,12.86,broken clouds
151,Kohima,IN,2021-05-30 16:51:05,25.6667,94.1167,64.98,94,25,2.13,scattered clouds
152,Manzil Salim,TN,2021-05-30 16:51:06,35.8567,8.4765,86.0,27,60,11.32,broken clouds
153,Gazli,UZ,2021-05-30 16:51:06,40.1333,63.45,96.58,9,0,8.21,clear sky
154,Pirovskoye,RU,2021-05-30 16:51:06,57.6267,92.2658,40.06,64,52,2.35,broken clouds
155,Thompson,CA,2021-05-30 16:51:07,55.7435,-97.8558,41.16,75,90,6.91,overcast clouds
156,Beringovskiy,RU,2021-05-30 16:51:07,63.05,179.3167,32.5,77,19,8.95,few clouds
157,East London,ZA,2021-05-30 16:51:07,-33.0153,27.9116,54.54,82,0,2.3,clear sky
158,Leh,IN,2021-05-30 16:51:08,34.1667,77.5833,52.0,51,54,3.27,broken clouds
159,Kahului,US,2021-05-30 16:46:40,20.8947,-156.47,76.84,75,1,6.91,clear sky
160,Tuktoyaktuk,CA,2021-05-30 16:51:08,69.4541,-133.0374,33.8,69,20,10.36,few clouds
161,Yar-Sale,RU,2021-05-30 16:51:09,66.8333,70.8333,41.74,56,50,18.43,scattered clouds
162,Riachao Das Neves,BR,2021-05-30 16:51:09,-11.7461,-44.91,92.48,22,68,5.91,broken clouds
163,Escarcega,MX,2021-05-30 16:51:10,18.6089,-90.7454,96.17,32,25,4.79,scattered clouds
164,Leningradskiy,RU,2021-05-30 16:51:10,69.3833,178.4167,33.19,81,61,3.44,broken clouds
165,Sao Filipe,CV,2021-05-30 16:51:11,14.8961,-24.4956,72.57,82,95,10.74,overcast clouds
166,Aklavik,CA,2021-05-30 16:51:11,68.2191,-135.0107,38.23,60,20,13.8,few clouds
167,Grindavik,IS,2021-05-30 16:51:11,63.8424,-22.4338,46.87,87,75,19.06,broken clouds
168,Coolum Beach,AU,2021-05-30 16:51:12,-26.5333,153.1,58.1,78,99,10.76,overcast clouds
169,Uga,NG,2021-05-30 16:51:12,5.9358,7.0793,84.07,69,55,7.23,light rain
170,Kaolack,SN,2021-05-30 16:51:12,14.1825,-16.2533,98.02,25,44,13.29,scattered clouds
171,Lavrentiya,RU,2021-05-30 16:51:13,65.5833,-171.0,32.56,81,7,11.01,clear sky
172,Xiongyue,CN,2021-05-30 16:51:13,40.1774,122.1228,57.61,62,0,4.0,light rain
173,Turukhansk,RU,2021-05-30 16:51:14,65.8167,87.9833,49.55,65,100,20.09,light rain
174,Longyearbyen,SJ,2021-05-30 16:51:14,78.2186,15.6401,33.64,80,75,2.3,broken clouds
175,Carberry,CA,2021-05-30 16:51:14,49.8689,-99.3602,61.03,49,79,13.89,broken clouds
176,Tautira,PF,2021-05-30 16:51:15,-17.7333,-149.15,75.22,77,91,17.85,light rain
177,Dabhol,IN,2021-05-30 16:51:15,17.6,73.1667,79.97,85,100,3.53,overcast clouds
178,Tiarei,PF,2021-05-30 16:51:16,-17.5333,-149.3333,75.22,77,89,16.37,light rain
179,Bokoro,TD,2021-05-30 16:51:16,12.3807,17.0568,102.63,13,4,4.18,clear sky
180,Kholm,RU,2021-05-30 16:51:17,59.2667,32.85,48.56,56,61,8.95,broken clouds
181,Torbay,CA,2021-05-30 16:51:17,47.6666,-52.7314,61.88,41,20,12.66,few clouds
182,Bathsheba,BB,2021-05-30 16:51:17,13.2167,-59.5167,88.41,55,75,20.71,broken clouds
183,Arawa,PG,2021-05-30 16:51:18,-6.2132,155.5367,76.08,90,82,3.15,broken clouds
