City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,Chuy,-33.6971,-53.4616,52.66,74,10,11.18,UY,2021-05-24 22:52:56
88,Liverpool,53.4106,-2.9779,52.09,75,83,5.01,GB,2021-05-24 22:52:56
89,Yinchuan,38.4681,106.2731,59.52,20,64,9.19,CN,2021-05-24 22:50:26
90,Upernavik,72.7868,-56.1549,32.02,80,83,8.95,GL,2021-05-24 22:52:56
91,Atar,20.5169,-13.0499,89.71,19,6,10.0,MR,2021-05-24 22:52:57
92,Kokkola,63.8385,23.1307,37.92,98,37,2.15,FI,2021-05-24 22:52:57
93,Hobart,-42.8794,147.3294,59.22,83,75,1.99,AU,2021-05-24 22:52:58
94,Jamestown,42.097,-79.2353,74.84,61,40,1.01,US,2021-05-24 22:52:58
95,Neiafu,-18.65,-173.9833,81.28,83,40,4.61,TO,2021-05-24 22:52:59
96,Cape Town,-33.9258,18.4232,61.12,87,20,6.87,ZA,2021-05-24 22:49:02
97,Thompson,55.7435,-97.8558,51.96,93,90,5.75,CA,2021-05-24 22:51:50
98,Gubkinskiy,64.434,76.5026,37.51,50,100,6.46,RU,2021-05-24 22:52:59
99,Hithadhoo,-0.6,73.0833,83.46,74,90,16.28,MV,2021-05-24 22:53:00
100,Saskylakh,71.9167,114.0833,40.23,88,4,5.73,RU,2021-05-24 22:53:00
101,Vila Velha,-20.3297,-40.2925,76.95,83,75,10.0,BR,2021-05-24 22:52:25
102,Georgetown,5.4112,100.3354,80.89,88,20,3.0,MY,2021-05-24 22:50:53
103,Victoria,22.2855,114.1577,86.97,86,64,1.01,HK,2021-05-24 22:49:13
104,Mar Del Plata,-38.0023,-57.5575,58.12,61,0,11.99,AR,2021-05-24 22:52:21
105,Salinas,36.6777,-121.6555,87.57,51,1,8.41,US,2021-05-24 22:53:01
106,Kysyl-Syr,63.8986,122.7617,43.0,93,100,9.15,RU,2021-05-24 22:53:02
107,Kapaa,22.0752,-159.319,82.72,72,75,1.99,US,2021-05-24 22:50:58
108,Lompoc,34.6391,-120.4579,86.13,65,1,24.0,US,2021-05-24 22:53:02
109,Saint George,37.1041,-113.5841,85.39,13,1,5.01,US,2021-05-24 22:53:03
110,Yulara,-25.2406,130.9889,55.24,94,60,0.0,AU,2021-05-24 22:53:03
111,Vitim,59.4511,112.5578,47.82,37,10,0.6,RU,2021-05-24 22:53:03
112,Gat,31.61,34.7642,70.48,72,0,1.81,IL,2021-05-24 22:52:00
113,Cravo Norte,6.3017,-70.2041,76.53,93,100,4.92,CO,2021-05-24 22:53:04
